,class,country,countrycode,dead_during_wave,population,si_integral_during_wave,t0_10_dead,tests_during_wave,wave,wave_end,wave_start,class_coarse,si_integral,last_dead_per_10k,last_tests_per_10k,si_response_time,c1_response_time,c2_response_time,c3_response_time,c4_response_time,c5_response_time,c6_response_time,c7_response_time,c8_response_time,h2_response_time,h3_response_time,testing_response_time_1,testing_response_time_10,testing_response_time_100,testing_response_time_1000
239,4.0,Mayotte,MYT,125.0,,,2021-01-24,0.0,2.0,2021-07-01,2020-12-08,EPI_SECOND_WAVE,,,,,,,,,,,,,,,,,,
240,2.0,Niger,NER,193.0,23310715.0,14126.654999999999,2020-04-07,0.0,1.0,2021-07-01,2020-03-19,EPI_FIRST_WAVE,15755.53,0.08279454319612246,0.0,-10.0,-18.0,,-25.0,,,,-10.0,-19.0,189.0,,,,,
241,4.0,Nigeria,NGA,1147.0,200963599.0,16399.640000000003,2020-04-12,661575.5,1.0,2020-11-03,2020-02-28,EPI_SECOND_WAVE,32919.865000000005,0.1054917413177896,156.45579675352053,-14.0,-17.0,-14.0,-23.0,-15.0,-14.0,-14.0,-14.0,-20.0,499.0,-44.0,24.0,95.0,401.0,
242,4.0,Nigeria,NGA,975.0,200963599.0,12377.585000000003,2020-11-10,2485888.5,2.0,2021-07-01,2020-11-03,EPI_SECOND_WAVE,32919.865000000005,0.1054917413177896,156.45579675352053,-14.0,-17.0,-14.0,-23.0,-15.0,-14.0,-14.0,-14.0,-20.0,499.0,-44.0,24.0,95.0,401.0,
243,4.0,Nicaragua,NIC,83.0,6545502.0,2048.5900000000006,2020-05-21,0.0,1.0,2020-07-05,2020-03-19,EPI_SECOND_WAVE,6479.51,0.2918034399806157,0.0,,46.0,,,,,,,,432.0,,,,,
244,4.0,Nicaragua,NIC,108.0,6545502.0,4092.46,2020-07-15,0.0,2.0,2021-07-01,2020-07-05,EPI_SECOND_WAVE,6479.51,0.2918034399806157,0.0,,46.0,,,,,,,,432.0,,,,,
245,4.0,Netherlands,NLD,6112.0,17332850.0,8243.935000000001,2020-03-15,0.0,1.0,2020-07-11,2020-02-28,EPI_SECOND_WAVE,34167.865000000005,10.237208537545758,0.0,1.0,1.0,0.0,-5.0,156.0,,8.0,,,517.0,-17.0,,,,
246,4.0,Netherlands,NLD,11633.0,17332850.0,22891.365,2020-07-15,0.0,2.0,2021-07-01,2020-07-11,EPI_SECOND_WAVE,34167.865000000005,10.237208537545758,0.0,1.0,1.0,0.0,-5.0,156.0,,8.0,,,517.0,-17.0,,,,
247,4.0,Norway,NOR,253.0,5347896.0,7692.494999999999,2020-03-27,347131.5,1.0,2020-07-17,2020-02-21,EPI_SECOND_WAVE,30688.915,1.4809562489622088,11523.695486972822,-11.0,-15.0,302.0,-3.0,-3.0,,,-11.0,-12.0,512.0,67.0,5.0,6.0,26.0,142.0
248,4.0,Norway,NOR,539.0,5347896.0,19353.93,2020-08-23,5819766.0,2.0,2021-07-01,2020-07-17,EPI_SECOND_WAVE,30688.915,1.4809562489622088,11523.695486972822,-11.0,-15.0,302.0,-3.0,-3.0,,,-11.0,-12.0,512.0,67.0,5.0,6.0,26.0,142.0
