,country,countrycode,date,new_per_day,new_per_day_smooth,dead_per_day,dead_per_day_smooth
25263,Costa Rica,CRI,2020-05-29,28.0,12.071428571428573,0.0,0.21428571428571427
25264,Costa Rica,CRI,2020-05-30,16.0,12.142857142857142,0.0,0.14285714285714285
25265,Costa Rica,CRI,2020-05-31,22.0,12.785714285714285,0.0,0.14285714285714285
25266,Costa Rica,CRI,2020-06-01,25.0,13.857142857142858,0.0,0.0
25267,Costa Rica,CRI,2020-06-02,9.0,13.785714285714285,0.0,0.0
25268,Costa Rica,CRI,2020-06-03,28.0,14.428571428571427,0.0,0.0
25269,Costa Rica,CRI,2020-06-04,21.0,15.928571428571427,0.0,0.0
25270,Costa Rica,CRI,2020-06-05,52.0,19.642857142857142,0.0,0.0
25271,Costa Rica,CRI,2020-06-06,37.0,20.785714285714285,0.0,0.0
25272,Costa Rica,CRI,2020-06-07,69.0,25.142857142857146,0.0,0.0
25273,Costa Rica,CRI,2020-06-08,0.0,24.642857142857146,0.0,0.0
25274,Costa Rica,CRI,2020-06-09,55.0,27.714285714285715,0.0,0.0
25275,Costa Rica,CRI,2020-06-10,24.0,27.92857142857143,0.0,0.0
25276,Costa Rica,CRI,2020-06-11,33.0,29.92857142857143,1.0,0.07142857142857142
25277,Costa Rica,CRI,2020-06-12,86.0,34.07142857142857,1.0,0.14285714285714285
25278,Costa Rica,CRI,2020-06-13,77.0,38.42857142857143,0.0,0.14285714285714285
25279,Costa Rica,CRI,2020-06-14,74.0,42.142857142857146,0.0,0.14285714285714285
25280,Costa Rica,CRI,2020-06-15,50.0,43.92857142857143,0.0,0.14285714285714285
25281,Costa Rica,CRI,2020-06-16,53.0,47.07142857142857,0.0,0.14285714285714285
25282,Costa Rica,CRI,2020-06-17,29.0,47.14285714285714,0.0,0.14285714285714285
25283,Costa Rica,CRI,2020-06-18,52.0,49.35714285714285,0.0,0.14285714285714285
25284,Costa Rica,CRI,2020-06-19,75.0,51.0,0.0,0.14285714285714285
25285,Costa Rica,CRI,2020-06-20,68.0,53.214285714285715,0.0,0.14285714285714285
25286,Costa Rica,CRI,2020-06-21,119.0,56.78571428571429,0.0,0.14285714285714285
25287,Costa Rica,CRI,2020-06-22,69.0,61.714285714285715,0.0,0.14285714285714285
