,country,countrycode,date,new_per_day,new_per_day_smooth,dead_per_day,dead_per_day_smooth,new_tests,new_tests_smooth,positive_rate,positive_rate_smooth,cfr_smooth
25227,Costa Rica,CRI,2020-04-23,7.0,13.285714285714286,0.0,0.2857142857142857,253.0,195.0,0.02766798418972332,0.05246015556621575,0.014234875444839855
25228,Costa Rica,CRI,2020-04-24,12.0,12.785714285714286,0.0,0.21428571428571427,102.0,185.0,0.11764705882352941,0.06262235998286614,0.010067114093959731
25229,Costa Rica,CRI,2020-04-25,5.0,10.5,0.0,0.21428571428571427,87.0,165.0,0.05747126436781609,0.0607633146785831,0.01107011070110701
25230,Costa Rica,CRI,2020-04-26,1.0,9.214285714285714,0.0,0.21428571428571427,37.0,163.0,0.02702702702702703,0.045393549308817734,0.01195219123505976
25231,Costa Rica,CRI,2020-04-27,6.0,8.285714285714286,0.0,0.21428571428571427,58.0,158.0,0.10344827586206896,0.051243303003399014,0.012195121951219511
25232,Costa Rica,CRI,2020-04-28,2.0,7.142857142857143,0.0,0.21428571428571427,59.0,128.0,0.03389830508474576,0.05340063337533369,0.012875536480686695
25233,Costa Rica,CRI,2020-04-29,2.0,6.071428571428571,0.0,0.21428571428571427,237.0,119.0,0.008438818565400843,0.05365696198861592,0.013636363636363636
25234,Costa Rica,CRI,2020-04-30,8.0,6.214285714285714,0.0,0.21428571428571427,109.0,98.0,0.07339449541284404,0.06018932073477602,0.014563106796116505
25235,Costa Rica,CRI,2020-05-01,8.0,6.214285714285714,0.0,0.14285714285714285,167.0,108.0,0.04790419161676647,0.05022605399095275,0.010256410256410256
25236,Costa Rica,CRI,2020-05-02,6.0,5.5,0.0,0.14285714285714285,91.0,108.0,0.06593406593406594,0.05143502564327416,0.01075268817204301
25237,Costa Rica,CRI,2020-05-03,6.0,5.428571428571429,0.0,0.14285714285714285,120.0,120.0,0.05,0.054716878925127437,0.011173184357541898
25238,Costa Rica,CRI,2020-05-04,8.0,5.571428571428571,0.0,0.14285714285714285,106.0,127.0,0.07547169811320754,0.050720224961004375,0.013605442176870748
25239,Costa Rica,CRI,2020-05-05,6.0,5.642857142857143,0.0,0.07142857142857142,73.0,129.0,0.0821917808219178,0.05761929292345752,0.007751937984496124
25240,Costa Rica,CRI,2020-05-06,3.0,5.714285714285714,0.0,0.0,209.0,125.0,0.014354066985645933,0.05846432841206396,0.0
25241,Costa Rica,CRI,2020-05-07,13.0,6.142857142857143,0.0,0.0,274.0,149.0,0.04744525547445255,0.054757294135150895,0.0
25242,Costa Rica,CRI,2020-05-08,6.0,5.714285714285714,0.0,0.0,452.0,189.0,0.01327433628318584,0.04981017194463938,0.0
25243,Costa Rica,CRI,2020-05-09,4.0,5.642857142857143,0.0,0.0,449.0,240.0,0.008908685968819599,0.041663689092461334,0.0
25244,Costa Rica,CRI,2020-05-10,8.0,6.142857142857143,0.0,0.0,592.0,308.0,0.013513513513513514,0.03645133388010612,0.0
25245,Costa Rica,CRI,2020-05-11,7.0,6.214285714285714,0.0,0.0,120.0,310.0,0.058333333333333334,0.03400299605440981,0.0
25246,Costa Rica,CRI,2020-05-12,12.0,6.928571428571429,0.0,0.0,73.0,310.0,0.1643835616438356,0.0457446790289695,0.0
25247,Costa Rica,CRI,2020-05-13,9.0,7.428571428571429,1.0,0.07142857142857142,446.0,344.0,0.020179372197309416,0.04657686548777856,0.01282051282051282
25248,Costa Rica,CRI,2020-05-14,3.0,7.071428571428571,0.0,0.07142857142857142,315.0,350.0,0.009523809523809525,0.04115951606625813,0.012658227848101264
25249,Costa Rica,CRI,2020-05-15,11.0,7.285714285714286,0.0,0.07142857142857142,209.0,315.0,0.05263157894736842,0.0467819793039985,0.012499999999999999
25250,Costa Rica,CRI,2020-05-16,15.0,7.928571428571429,1.0,0.14285714285714285,665.0,346.0,0.022556390977443608,0.048731651448087644,0.02325581395348837
25251,Costa Rica,CRI,2020-05-17,13.0,8.428571428571429,0.0,0.14285714285714285,576.0,343.0,0.022569444444444444,0.050025355866792055,0.024999999999999998
25252,Costa Rica,CRI,2020-05-18,10.0,8.571428571428571,2.0,0.2857142857142857,206.0,356.0,0.04854368932038835,0.04862683529351419,0.050632911392405056
25253,Costa Rica,CRI,2020-05-19,10.0,8.857142857142858,0.0,0.2857142857142857,138.0,365.0,0.07246376811594203,0.03549543621810082,0.04651162790697674
25254,Costa Rica,CRI,2020-05-20,19.0,10.0,0.0,0.2857142857142857,434.0,363.0,0.04377880184331797,0.03886678331038775,0.04597701149425287
25255,Costa Rica,CRI,2020-05-21,0.0,9.071428571428571,0.0,0.2857142857142857,168.0,342.0,0.0,0.03750623909270068,0.041237113402061855
25256,Costa Rica,CRI,2020-05-22,0.0,8.642857142857142,0.0,0.2857142857142857,486.0,382.0,0.0,0.029987442100219475,0.03846153846153846
25257,Costa Rica,CRI,2020-05-23,21.0,9.857142857142858,0.0,0.2857142857142857,235.0,320.0,0.08936170212765958,0.03953105797882176,0.0404040404040404
25258,Costa Rica,CRI,2020-05-24,8.0,9.857142857142858,0.0,0.2857142857142857,410.0,297.0,0.01951219512195122,0.039094308075608444,0.0392156862745098
25259,Costa Rica,CRI,2020-05-25,7.0,9.857142857142858,0.0,0.2857142857142857,157.0,290.0,0.044585987261146494,0.038528922067145324,0.036036036036036036
25260,Costa Rica,CRI,2020-05-26,12.0,9.857142857142858,0.0,0.2857142857142857,125.0,288.0,0.096,0.04189124090772504,0.03389830508474576
25261,Costa Rica,CRI,2020-05-27,21.0,10.714285714285714,0.0,0.21428571428571427,649.0,319.0,0.032357473035439135,0.040259622506599486,0.024999999999999998
25262,Costa Rica,CRI,2020-05-28,5.0,10.857142857142858,0.0,0.21428571428571427,374.0,348.0,0.013368983957219251,0.04216947735763081,0.02419354838709677
25263,Costa Rica,CRI,2020-05-29,28.0,12.071428571428571,0.0,0.21428571428571427,540.0,356.0,0.05185185185185185,0.04957688476503822,0.02142857142857143
25264,Costa Rica,CRI,2020-05-30,16.0,12.142857142857142,0.0,0.14285714285714285,467.0,389.0,0.034261241970021415,0.041705390456804194,0.015748031496062992
25265,Costa Rica,CRI,2020-05-31,22.0,12.785714285714286,0.0,0.14285714285714285,521.0,405.0,0.04222648752399232,0.04495028937138149,0.01652892561983471
25266,Costa Rica,CRI,2020-06-01,25.0,13.857142857142858,0.0,0.0,261.0,420.0,0.09578544061302682,0.05226449699307868,0.0
25267,Costa Rica,CRI,2020-06-02,9.0,13.785714285714286,0.0,0.0,264.0,439.0,0.03409090909090909,0.04342034114892284,0.0
25268,Costa Rica,CRI,2020-06-03,28.0,14.428571428571429,0.0,0.0,415.0,406.0,0.06746987951807229,0.04843639921787043,0.0
25269,Costa Rica,CRI,2020-06-04,21.0,15.928571428571429,0.0,0.0,376.0,406.0,0.05585106382978723,0.05450526777109443,0.0
25270,Costa Rica,CRI,2020-06-05,52.0,19.642857142857142,0.0,0.0,443.0,392.0,0.11738148984198646,0.06386664462682794,0.0
25271,Costa Rica,CRI,2020-06-06,37.0,20.785714285714285,0.0,0.0,334.0,373.0,0.11077844311377245,0.07479767336164951,0.0
25272,Costa Rica,CRI,2020-06-07,69.0,25.142857142857142,0.0,0.0,268.0,337.0,0.2574626865671642,0.10554570179638835,0.0
25273,Costa Rica,CRI,2020-06-08,0.0,24.642857142857142,0.0,0.0,161.0,323.0,0.0,0.0918620674230988,0.0
25274,Costa Rica,CRI,2020-06-09,55.0,27.714285714285715,0.0,0.0,229.0,318.0,0.24017467248908297,0.12130260505140936,0.0
25275,Costa Rica,CRI,2020-06-10,24.0,27.928571428571427,0.0,0.0,427.0,320.0,0.05620608899297424,0.1196934921192525,0.0
25276,Costa Rica,CRI,2020-06-11,33.0,29.928571428571427,1.0,0.07142857142857142,381.0,320.0,0.08661417322834646,0.12408822203333238,0.005181347150259067
25277,Costa Rica,CRI,2020-06-12,86.0,34.07142857142857,1.0,0.14285714285714285,483.0,326.0,0.17805383022774326,0.13275569923129765,0.009900990099009901
25278,Costa Rica,CRI,2020-06-13,77.0,38.42857142857143,0.0,0.14285714285714285,510.0,351.0,0.15098039215686274,0.13849883480888195,0.008968609865470852
25279,Costa Rica,CRI,2020-06-14,74.0,42.142857142857146,0.0,0.14285714285714285,308.0,357.0,0.24025974025974026,0.13604127105067854,0.007272727272727273
25280,Costa Rica,CRI,2020-06-15,50.0,43.92857142857143,0.0,0.14285714285714285,237.0,368.0,0.2109704641350211,0.16617990878425298,0.006872852233676976
25281,Costa Rica,CRI,2020-06-16,53.0,47.07142857142857,0.0,0.14285714285714285,278.0,375.0,0.1906474820143885,0.15910459585929662,0.005681818181818182
25282,Costa Rica,CRI,2020-06-17,29.0,47.142857142857146,0.0,0.14285714285714285,451.0,378.0,0.06430155210643015,0.1602610905897903,0.005797101449275362
25283,Costa Rica,CRI,2020-06-18,52.0,49.357142857142854,0.0,0.14285714285714285,447.0,388.0,0.116331096196868,0.16450636529957907,0.005154639175257732
25284,Costa Rica,CRI,2020-06-19,75.0,51.0,0.0,0.14285714285714285,629.0,409.0,0.1192368839427663,0.1561039444017252,0.005115089514066497
25285,Costa Rica,CRI,2020-06-20,68.0,53.214285714285715,0.0,0.14285714285714285,457.0,401.0,0.1487964989059081,0.15579195965158885,0.00477326968973747
