case_rate,class,class_coarse,country,countrycode,date_peak_1,date_peak_2,date_peak_3,date_peak_4,date_peak_5,gni_per_capita,mortality_rate,peak_1,peak_1_per_rel_to,peak_2,peak_2_per_rel_to,peak_3,peak_3_per_rel_to,peak_4,peak_4_per_rel_to,peak_5,peak_5_per_rel_to,peak_case_rate,population,population_density,rel_to_constant,t0,t0_10_dead,t0_1_dead,t0_5_dead,t0_relative,total_confirmed,total_dead,wave_cfr_1,wave_duration_1,wave_duration_2,wave_duration_3,wave_duration_4,wave_duration_5,wave_end_1,wave_end_2,wave_end_3,wave_end_4,wave_end_5,wave_start_1,wave_start_2,wave_start_3,wave_start_4,wave_start_5,date_peak_6,peak_6,peak_6_per_rel_to,wave_duration_6,wave_end_6,wave_start_6,date_peak_7,peak_7,peak_7_per_rel_to,wave_duration_7,wave_end_7,wave_start_7,date_peak_8,peak_8,peak_8_per_rel_to,wave_duration_8,wave_end_8,wave_start_8
,13.0,3.0,Republic of Moldova,MD,2020-06-28,2020-12-13,2021-03-28,2021-10-31,2022-02-06,,,330.07142857142856,,1419.357142857143,,1567.857142857143,,1550.0714285714287,,4304.857142857143,,,,,10000.0,2020-04-08,2020-04-04,2020-03-22,2020-04-01,,596100.0,11929.0,,133.0,189.0,140.0,203.0,161.0,2020-07-19,2021-01-24,2021-06-13,2022-01-02,2022-06-12,2020-03-08,2020-07-19,2021-01-24,2021-06-13,2022-01-02,2022-08-14,1405.357142857143,,154.0,2022-11-13,2022-06-12,,,,,,,,,,,,
,16.0,3.0,North Macedonia,MK,2020-04-19,2020-07-19,2020-11-22,2021-04-04,2021-08-29,,,46.857142857142854,,151.21428571428572,,1060.357142857143,,1094.642857142857,,940.9285714285714,,,,,10000.0,2020-04-15,2020-03-31,2020-03-22,2020-03-28,,345588.0,9876.0,,70.0,119.0,147.0,154.0,105.0,2020-05-10,2020-09-06,2021-01-31,2021-07-04,2021-10-17,2020-03-01,2020-05-10,2020-09-06,2021-01-31,2021-07-04,2021-11-14,479.64285714285717,,70.0,2021-12-26,2021-10-17,2022-01-30,1674.4285714285713,,175.0,2022-06-19,2021-12-26,2022-07-31,652.0,,189.0,2022-12-25,2022-06-19
,11.0,3.0,Mexico,MX,2020-07-26,2021-01-17,2021-08-15,2022-01-23,2022-07-17,,,7139.428571428572,,15425.92857142857,,18815.928571428572,,58114.07142857143,,29569.85714285714,,,,,10000.0,2020-03-23,2020-03-24,2020-03-17,2020-03-23,,7245590.0,331322.0,,217.0,238.0,210.0,126.0,189.0,2020-09-27,2021-05-23,2021-12-19,2022-04-24,2022-10-30,2020-02-23,2020-09-27,2021-05-23,2021-12-19,2022-04-24,,,,,,,,,,,,,,,,,,
,15.0,3.0,Norway,NO,2020-03-29,2020-11-15,2021-01-10,2021-03-28,2021-09-12,,,226.07142857142858,,575.2142857142857,,610.0714285714286,,908.3571428571429,,1345.7857142857142,,,,,10000.0,2020-03-13,2020-03-24,2020-03-15,2020-03-20,,1474524.0,4745.0,,147.0,147.0,63.0,154.0,91.0,2020-07-19,2020-12-13,2021-02-14,2021-07-18,2021-10-17,2020-02-23,2020-07-19,2020-12-13,2021-02-14,2021-07-18,2022-02-13,19353.714285714286,,224.0,2022-05-29,2021-10-17,2022-07-03,604.3571428571429,,126.0,2022-10-02,2022-05-29,,,,,,
,13.0,3.0,Poland,PL,2020-06-21,2020-11-15,2021-04-04,2021-12-05,2022-02-06,,,402.42857142857144,,25456.214285714286,,27080.5,,23272.14285714286,,46106.42857142857,,,,,10000.0,2020-03-25,2020-03-25,2020-03-11,2020-03-22,,6365382.0,118475.0,,131.0,210.0,161.0,175.0,161.0,2020-07-12,2021-02-07,2021-07-18,2022-01-09,2022-06-19,2020-03-03,2020-07-12,2021-02-07,2021-07-18,2022-01-09,2022-09-25,4340.214285714285,,161.0,2022-11-27,2022-06-19,,,,,,,,,,,,
,12.0,3.0,Portugal,PT,2020-04-12,2020-11-22,2021-01-31,2021-07-25,2022-01-30,,,677.0,,5102.857142857143,,11467.357142857143,,3493.3571428571427,,55190.28571428572,,,,,10000.0,2020-03-19,2020-03-18,2020-03-16,2020-03-17,,5550568.0,25773.0,,168.0,140.0,140.0,147.0,189.0,2020-08-09,2020-12-27,2021-05-16,2021-10-10,2022-04-17,2020-02-23,2020-08-09,2020-12-27,2021-05-16,2021-10-10,2022-05-29,26171.714285714286,,252.0,2022-12-25,2022-04-17,,,,,,,,,,,,
,13.0,3.0,Romania,RO,2020-04-19,2020-11-22,2021-04-04,2021-10-24,2022-02-06,,,343.2142857142857,,8272.07142857143,,5526.857142857143,,14568.785714285714,,27333.714285714286,,,,,10000.0,2020-03-27,2020-03-24,2020-03-23,2020-03-23,,3305048.0,67341.0,,96.0,259.0,147.0,168.0,175.0,2020-05-31,2021-02-14,2021-07-11,2021-12-26,2022-06-19,2020-02-25,2020-05-31,2021-02-14,2021-07-11,2021-12-26,2022-08-07,7843.714285714285,,168.0,2022-12-04,2022-06-19,,,,,,,,,,,,
,10.0,3.0,Russian Federation,RU,2020-05-17,2020-12-27,2021-11-14,2022-02-20,2022-09-25,,,10504.642857142857,,28308.571428571428,,39777.42857142857,,182878.64285714287,,51879.357142857145,,,,,10000.0,2020-03-26,2020-03-30,2020-03-23,2020-03-27,,21764292.0,393383.0,,213.0,259.0,238.0,175.0,175.0,2020-08-30,2021-05-16,2022-01-09,2022-07-03,2022-12-25,2020-01-30,2020-08-30,2021-05-16,2022-01-09,2022-07-03,,,,,,,,,,,,,,,,,,
,12.0,3.0,Tunisia,TN,2020-04-05,2021-01-24,2021-04-25,2021-07-18,2022-01-30,,,35.214285714285715,,2700.0,,2019.642857142857,,7275.214285714285,,8597.214285714286,,,,,10000.0,2020-05-03,2020-03-31,2020-03-22,2020-03-26,,1147477.0,29279.0,,77.0,301.0,63.0,189.0,182.0,2020-05-24,2021-03-21,2021-05-23,2021-11-28,2022-05-29,2020-03-08,2020-05-24,2021-03-21,2021-05-23,2021-11-28,2022-07-24,3445.9285714285716,,210.0,2022-12-25,2022-05-29,,,,,,,,,,,,
,12.0,3.0,Turkey,TR,2020-04-19,2020-12-13,2021-04-25,2021-10-17,2022-02-13,,,4171.071428571428,,31332.928571428572,,56648.78571428572,,29946.214285714286,,99718.42857142857,,,,,10000.0,2020-03-23,2020-03-19,2020-03-16,2020-03-17,,17004677.0,101419.0,,138.0,189.0,161.0,168.0,168.0,2020-07-26,2021-01-31,2021-07-11,2021-12-26,2022-06-12,2020-03-10,2020-07-26,2021-01-31,2021-07-11,2021-12-26,2022-07-31,55124.5,,196.0,2022-12-25,2022-06-12,,,,,,,,,,,,
,10.0,3.0,Ukraine,UA,2020-11-29,2021-04-11,2021-11-07,2022-02-13,2022-10-02,,,13157.57142857143,,14906.857142857143,,21747.285714285714,,34157.0,,6209.928571428572,,,,,10000.0,2020-04-03,2020-03-27,2020-03-12,2020-03-22,,5315676.0,108249.0,,342.0,154.0,175.0,168.0,182.0,2021-02-14,2021-07-18,2022-01-09,2022-06-26,2022-12-25,2020-03-09,2021-02-14,2021-07-18,2022-01-09,2022-06-26,,,,,,,,,,,,,,,,,,
